Seq,language,WS,individualism,flexibility,distUS,distChina
3,Cantonese,1,-5,199,0.09,0.085
5,Croatian,1,-33,-32,NA,NA
6,Czech,1,70,17,NA,NA
7,Danish,1,140,51,NA,NA
8,Dutch,1,182,87,0.079,0.146
9,English (American),1,33,11,0,0.15
10,English (Australian),1,83,41,0.035,0.131
11,English (British),0,93,56,NA,NA
12,English (Irish),1,27,17,NA,NA
13,Estonian,1,39,108,0.117,0.097
14,Finnish,1,88,71,0.072,0.176
15,French (French),1,86,57,0.079,0.181
16,French (Quebecois),1,78,31,0.026,0.135
17,German,1,102,46,0.08,0.114
19,Hebrew,1,16,2,NA,NA
20,Hungarian,1,72,-9,0.102,0.125
21,Irish,1,27,17,NA,NA
22,Italian,1,5,-36,0.061,0.163
23,Japanese,1,42,234,0.115,0.118
25,Kiswahili,1,-177,-158,NA,NA
26,Korean,1,25,174,0.092,0.073
27,Latvian,1,NA,NA,NA,NA
28,Mandarin (Beijing),1,-31,134,0.15,0
29,Mandarin (Taiwanese),1,-43,175,0.097,0.092
32,Portuguese (European),1,30,-24,NA,NA
33,Russian,1,-21,48,0.085,0.089
35,Spanish (Argentinian),1,0,-80,0.071,0.15
37,Spanish (European),1,58,2,0.074,0.137
38,Spanish (Mexican),1,-63,-104,0.077,0.138
39,Spanish (Peruvian),1,-117,-187,0.09,0.142
40,Swedish,1,133,21,0.115,0.186
41,Turkish,1,-18,-52,0.12,0.119
