language,form,form_type,measure,N.admin,N.male,N.female,N.sexunknown,M.age,SD.age,Min.age,Max.age
Cantonese,WS,WS,produces,1281,625,572,84,23.4887218,4.35746944,16,30
Croatian,WS,WS,produces,374,196,178,0,23.45721925,4.110020289,16,30
Czech,WS,WS,produces,472,224,248,0,23.13771186,4.159262737,16,30
Danish,WS,WS,produces,3648,1779,1869,0,25.43777412,5.733164329,16,36
Dutch,WS,WS,produces,303,128,174,1,22.01320132,4.474337124,16,31
English (American),WS,WS,produces,9986,3901,3587,2498,23.08435892,4.48645461,16,30
English (Australian),WS,WS,produces,1398,677,694,27,21.19854545,4.95546374,12,30
English (British),Oxford CDI,WG,produces,1868,650,559,659,18.76261373,3.206067063,12,25
English (Irish),WS,WS,produces,97,51,46,0,28.65979381,4.802097194,17,36
Estonian,WS,WS,produces,1220,586,634,0,23.34344262,4.166657127,16,30
Finnish,WS,WS,produces,70,34,36,0,21,3.021660931,18,24
French (French),WS,WS,produces,1397,515,541,341,23.25063291,3.858844048,16,30
French (Quebecois),WS,WS,produces,1501,717,665,119,22.92052023,3.984356361,16,30
German,WS,WS,produces,1164,617,547,0,24.15721649,3.675372874,18,30
Hebrew,WS,WS,produces,515,253,248,14,28.58283433,3.027147956,25,36
Hungarian,WS,WS,produces,357,192,162,3,23.12885154,3.911978446,16,30
Irish,WS,WS,produces,99,52,47,0,28.46464646,4.953483893,17,36
Italian,WS,WS,produces,750,375,375,0,25.49733333,4.798405202,18,36
Japanese,WS,WS,produces,657,298,294,65,24.52027027,5.467293424,16,36
Kiswahili,WS,WS,produces,58,29,29,0,26.29310345,1.991284701,23,30
Korean,WS,WS,produces,1617,827,783,7,26.80086849,5.301410443,18,36
Latvian,WS,WS,produces,488,236,252,0,26.1147541,5.70161074,17,36
Mandarin (Beijing),WS,WS,produces,1055,529,526,0,22.98388626,4.32489002,16,30
Mandarin (Taiwanese),WS,WS,produces,1875,957,918,0,25.968,5.803160365,16,36
Portuguese (European),WS,WS,produces,2912,1522,1390,0,23.37877747,4.090239761,16,30
Russian,WS,WS,produces,1019,475,543,1,27.48478901,5.111575737,18,36
Spanish (Argentinian),WS,WS,produces,770,376,393,1,23.32379714,4.433004547,16,33
Spanish (European),WS,WS,produces,580,293,287,0,23.2,4.284123399,16,30
Spanish (Mexican),WS,WS,produces,2019,826,816,377,24.12983092,4.327044605,16,30
Spanish (Peruvian),WS,WS,produces,104,59,45,0,22.41346154,4.339054026,16,30
Swedish,WS,WS,produces,873,407,459,7,21.96219931,3.826775623,16,28
Turkish,WS,WS,produces,2394,1176,1218,0,25.86758563,5.941033011,16,36
