"language","form","form_type","measure","lexical_class","mean","ci_lower","ci_upper","num_forms","langform","order"
"English (American)","WSShort","WS","produces","Adjectives",-0.159970377613397,-0.323623913884288,0.00168115528920639,2,"English (American) WSShort","1"
"Finnish","WS","WS","produces","Adjectives",-0.122726212931389,-0.13600508586147,-0.108085178195659,2,"Finnish WS","2"
"American Sign Language","FormBTwo","WS","produces","Adjectives",-0.108404663004644,-0.13091935996311,-0.0860013772125883,3,"American Sign Language FormBTwo","3"
"American Sign Language","FormC","WS","produces","Adjectives",-0.108140192684831,-0.125929675107029,-0.0918409807633919,3,"American Sign Language FormC","4"
"Hebrew","WS","WS","produces","Adjectives",-0.105588391554615,-0.115420089893784,-0.0962535949334398,1,"Hebrew","5"
"Spanish (Mexican)","WS","WS","produces","Adjectives",-0.101496654581367,-0.107778684072968,-0.0950658360896169,1,"Spanish (Mexican)","6"
"Swedish","WS","WS","produces","Adjectives",-0.0887702934030356,-0.0959507591786556,-0.0815233539176104,1,"Swedish","7"
"Russian","WS","WS","produces","Adjectives",-0.086933415909907,-0.0939420470785543,-0.0803503684189706,1,"Russian","8"
"English (Australian)","WS","WS","produces","Adjectives",-0.0828158482163057,-0.0893132395947858,-0.0768376076846349,1,"English (Australian)","9"
"Estonian","WS","WS","produces","Adjectives",-0.0818711417532101,-0.0869130588989058,-0.0770808470678694,1,"Estonian","10"
"Kiswahili","WS","WS","produces","Adjectives",-0.0814130442296745,-0.115163718387326,-0.0492549313728122,1,"Kiswahili","11"
"English (British)","WS","WS","produces","Adjectives",-0.0801167172294142,-0.0880077668497112,-0.0730970846963265,2,"English (British) Oxford CDI","12"
"Turkish","WS","WS","produces","Adjectives",-0.0781545504623752,-0.0839384509630327,-0.0721999708288378,1,"Turkish","13"
"Italian","WS","WS","produces","Adjectives",-0.0711170534514564,-0.0785518726651882,-0.0638584910559549,1,"Italian","14"
"German","WS","WS","produces","Adjectives",-0.0706282772696873,-0.0760595879727638,-0.0657427131126307,1,"German","15"
"Kigiriama","WS","WS","produces","Adjectives",-0.0679591013919978,-0.0851062789994461,-0.0486570990561332,1,"Kigiriama","16"
"Hungarian","WS","WS","produces","Adjectives",-0.0651313032828918,-0.0743561130476134,-0.0553479876721931,1,"Hungarian","17"
"Spanish (Argentinian)","WS","WS","produces","Adjectives",-0.0614128225388457,-0.0719512845786772,-0.0509853193612459,1,"Spanish (Argentinian)","18"
"Czech","WS","WS","produces","Adjectives",-0.0603706631349941,-0.0737926221681002,-0.0474167010914513,1,"Czech","19"
"Dutch","FormThree","WS","produces","Adjectives",-0.056683842502441,-0.0855830066721676,-0.0263259988969837,2,"Dutch FormThree","20"
