language,uni_lemma,tokens,freq,mlu,lexical_category,category,item_definition
Dutch,1PL,wij,-7.447950012981407,7.818784530386741,function_words,pronouns,wij
Dutch,1PL.POSS,"ons, onze",-8.134496509509999,8.287912087912087,function_words,pronouns,ons
Dutch,1SG,"ik, ike, mij, mije, mijke",-4.017351010107709,7.4352268667381205,function_words,pronouns,ik
Dutch,1SG,"ik, ike, mij, mije, mijke",-4.017351010107709,7.4352268667381205,function_words,pronouns,mij
Dutch,1SG.POSS,"m'n, mijn, mijne",-6.839408916609841,7.507211538461538,function_words,pronouns,mijn(e)/vanmij
Dutch,1SG.REFL,mezelf,-11.038113494156185,7.916666666666667,function_words,pronouns,mezelf
Dutch,2SG,jij,-5.066647593554893,6.467299255178043,function_words,pronouns,jij
Dutch,2SG.POSS,"jou, jouw, jouwe, jouwes",-6.31961462286109,7.010360843158271,function_words,pronouns,jouw(e)/vanjou/dejou(we)
Dutch,2SG.REFL,jezelf,-9.862540164351946,7.05,function_words,pronouns,jezelf
Dutch,3PL,"hen, hun, zij",-8.034413050953017,8.755467196819085,function_words,pronouns,hen
Dutch,3PL,"hen, hun, zij",-8.034413050953017,8.755467196819085,function_words,pronouns,hun
Dutch,3PL,"hen, hun, zij",-8.034413050953017,8.755467196819085,function_words,pronouns,zij(meervoud)
Dutch,3SG,"'m, 't, haar, haartje, haartjes, hem, het, hij, hijke, ie, ze, zij",-3.201933399956917,7.236160728399355,function_words,pronouns,het(vnw)
Dutch,3SG,"'m, 't, haar, haartje, haartjes, hem, het, hij, hijke, ie, ze, zij",-3.201933399956917,7.236160728399355,function_words,pronouns,haar(vnw)
Dutch,3SG,"'m, 't, haar, haartje, haartjes, hem, het, hij, hijke, ie, ze, zij",-3.201933399956917,7.236160728399355,function_words,pronouns,hem
Dutch,3SG,"'m, 't, haar, haartje, haartjes, hem, het, hij, hijke, ie, ze, zij",-3.201933399956917,7.236160728399355,function_words,pronouns,hij
Dutch,3SG,"'m, 't, haar, haartje, haartjes, hem, het, hij, hijke, ie, ze, zij",-3.201933399956917,7.236160728399355,function_words,pronouns,zij(meisje)
