Seq,language,WS,individualism,flexibility,individualism_new,distUS,distChina,relmob
3,Cantonese,1,-5,199,57.95,0.09,0.085,-0.294
5,Croatian,1,-33,-32,51.41,NA,NA,NA
6,Czech,1,70,17,57.38,NA,NA,NA
7,Danish,1,140,51,74.23,NA,NA,NA
8,Dutch,1,182,87,71.22,0.079,0.146,0.197
9,English (American),1,33,11,61.92,0,0.15,0.182
10,English (Australian),1,83,41,67.71,0.035,0.131,0.138
11,English (British),0,93,56,67.00,NA,NA,0.044
12,English (Irish),1,27,17,NA,NA,NA,NA
13,Estonian,1,39,108,56.37,0.117,0.097,-0.024
14,Finnish,1,88,71,67.83,0.072,0.176,NA
15,French (French),1,86,57,65.15,0.079,0.181,0.213
16,French (Quebecois),1,78,31,68.28,0.026,0.135,0.175
17,German,1,102,46,67.54,0.08,0.114,-0.011
19,Hebrew,1,16,2,NA,NA,NA,0.088
20,Hungarian,1,72,-9,53.65,0.102,0.125,-0.387
21,Irish,1,27,17,NA,NA,NA,NA
22,Italian,1,5,-36,55.9,0.061,0.163,NA
23,Japanese,1,42,234,59.69,0.115,0.118,-0.414
25,Kiswahili,1,-177,-158,41.32,NA,NA,
26,Korean,1,25,174,50.94,0.092,0.073,-0.007
27,Latvian,1,NA,NA,55.19,NA,NA,NA
28,Mandarin (Beijing),1,-31,134,49.45,0.15,0,NA
29,Mandarin (Taiwanese),1,-43,175,55.19,0.097,0.092,-0.294
32,Portuguese (European),1,30,-24,58.53,NA,NA,0
33,Russian,1,-21,48,47.04,0.085,0.089,NA
35,Spanish (Argentinian),1,0,-80,36.73,0.071,0.15,NA
37,Spanish (European),1,58,2,56.57,0.074,0.137,0.128
38,Spanish (Mexican),1,-63,-104,30.82,0.077,0.138,0.359
39,Spanish (Peruvian),1,-117,-187,21.39,0.09,0.142,NA
40,Swedish,1,133,21,66.85,0.115,0.186,0.171
41,Turkish,1,-18,-52,18.02,0.12,0.119,-0.06
