Seq,language,WS,Family,Family2,wordOrder,tense,article,numCase,posCaseAffix,posNomPlural,nomPlural,proDrop,classifier,orderAdjN,orderAdposN,vPerson,posTenseAspectAffix,supplTenseAspect,compDeg,predicativeAdj
3,Cantonese,1,Sino-Tibetan,Sino-Tibetan,SVO,Absent,IndefinitePresent,0,Absent,Absent,Absent,Present,Present,Adj-N,NoDominantOrder,Absent,TenseAspectSuffixes,Absent,Absent,Present
5,Croatian,1,"	Indo-European","	Indo-European",SVO,BothPresent,Absent,5~,CaseSuffixes,PluralSuffixes,Present,Present,Absent,Adj-N,Prepositions,Agent,Absent,Present,Present,Absent
6,Czech,1,"	Indo-European","	Indo-European",SVO,BothPresent,Absent,5~,CaseSuffixes,PluralSuffixes,Present,Present,Absent,Adj-N,Prepositions,Agent,MixedType,Present,Present,Absent
7,Danish,1,"	Indo-European","	Indo-European",SVO,PastPresent,BothPresent,0,CaseSuffixes,PluralSuffixes,Present,Absent,Absent,Adj-N,Prepositions,Absent,TenseAspectSuffixes,Present,Present,Absent
8,Dutch,1,"	Indo-European","	Indo-European",NoDominantOrder,PastPresent,BothPresent,0,Absent,PluralSuffixes,Present,Absent,Absent,Adj-N,Prepositions,Agent,TenseAspectSuffixes,Present,Present,Absent
9,English (American),1,"	Indo-European","	Indo-European",SVO,PastPresent,BothPresent,2~4,Absent,PluralSuffixes,Present,Absent,Absent,Adj-N,Prepositions,Agent,TenseAspectSuffixes,Present,Present,Absent
10,English (Australian),1,"	Indo-European","	Indo-European",SVO,PastPresent,BothPresent,2~4,Absent,PluralSuffixes,Present,Absent,Absent,Adj-N,Prepositions,Agent,TenseAspectSuffixes,Present,Present,Absent
11,English (British),1,"	Indo-European","	Indo-European",SVO,PastPresent,BothPresent,2~4,Absent,PluralSuffixes,Present,Absent,Absent,Adj-N,Prepositions,Agent,TenseAspectSuffixes,Present,Present,Absent
12,English (Irish),1,"	Indo-European","	Indo-European",SVO,PastPresent,BothPresent,2~4,Absent,PluralSuffixes,Present,Absent,Absent,Adj-N,Prepositions,Agent,TenseAspectSuffixes,Present,Present,Absent
13,Estonian,1,Uralic,Uralic,SVO,PastPresent,Absent,5~,CaseSuffixes,PluralSuffixes,Present,Absent,Absent,Adj-N,Postpositions,Agent,TenseAspectSuffixes,Absent,Present,Absent
14,Finnish,1,Uralic,Uralic,SVO,PastPresent,Absent,5~,CaseSuffixes,PluralSuffixes,Present,Present,Absent,Adj-N,Postpositions,Agent,TenseAspectSuffixes,Absent,Present,Absent
