language,form,form_type,measure,N.admin,N.male,N.female,N.sexunknown,M.age,SD.age,Min.age,Max.age,nouns,verbs,adjectives,function_words,adverbs,other,NA,unknown,items_counted_as_all,items_all,prop_all,prop_nouns,prop_verbs,prop_adjectives,prop_function_words
Cantonese,WS,WS,produces,1281,625,572,84,23.4887218,4.35746944,16,30,316,172,84,108,NA,124,NA,NA,680,804,0.845771144,0.464705882,0.252941176,0.123529412,0.158823529
Croatian,WS,WS,produces,374,196,178,0,23.45721925,4.110020289,16,30,312,103,63,139,NA,100,NA,NA,617,717,0.860529986,0.505672609,0.166936791,0.102106969,0.22528363
Czech,WS,WS,produces,472,224,248,0,23.13771186,4.159262737,16,30,239,100,30,50,NA,134,NA,NA,419,553,0.757685353,0.570405728,0.238663484,0.071599045,0.119331742
Danish,WS,WS,produces,3648,1779,1869,0,25.43777412,5.733164329,16,36,316,103,63,128,NA,115,NA,NA,610,725,0.84137931,0.518032787,0.168852459,0.103278689,0.209836066
Dutch,WS,WS,produces,303,128,174,1,22.01320132,4.474337124,16,31,327,106,61,96,NA,114,NA,NA,590,704,0.838068182,0.554237288,0.179661017,0.103389831,0.162711864
English (American),WS,WS,produces,9986,3901,3587,2498,23.08435892,4.48645461,16,30,312,103,63,102,NA,100,NA,NA,580,680,0.852941176,0.537931034,0.177586207,0.10862069,0.175862069
English (Australian),WS,WS,produces,1398,677,694,27,21.19854545,4.95546374,12,30,298,108,66,0,NA,86,NA,NA,472,558,0.845878136,0.631355932,0.228813559,0.139830508,0
English (British),Oxford CDI,WG,produces,1496,650,559,287,18.76261373,3.206067063,12,25,211,70,39,37,NA,61,NA,NA,357,418,0.854066986,0.591036415,0.196078431,0.109243697,0.103641457
English (Irish),WS,WS,produces,97,51,46,0,28.65979381,4.802097194,17,36,300,95,62,101,NA,103,NA,NA,558,661,0.844175492,0.537634409,0.170250896,0.111111111,0.181003584
Estonian,WS,WS,produces,1220,586,634,0,23.34344262,4.166657127,16,30,320,82,67,60,NA,102,NA,NA,529,631,0.838351823,0.604914934,0.155009452,0.126654064,0.11342155
Finnish,WS,WS,produces,70,34,36,0,21,3.021660931,18,24,293,107,54,71,NA,70,NA,NA,525,595,0.882352941,0.558095238,0.203809524,0.102857143,0.135238095
French (French),WS,WS,produces,1397,515,541,341,23.25063291,3.858844048,16,30,328,102,65,94,NA,101,NA,NA,589,690,0.853623188,0.556876061,0.173174873,0.110356537,0.15959253
French (Quebecois),WS,WS,produces,1501,717,665,119,22.92052023,3.984356361,16,30,307,109,60,84,NA,104,NA,NA,560,664,0.843373494,0.548214286,0.194642857,0.107142857,0.15
German,WS,WS,produces,1164,617,547,0,24.15721649,3.675372874,18,30,270,100,54,93,NA,71,NA,NA,517,588,0.879251701,0.522243714,0.193423598,0.104448743,0.179883946
Hebrew,WS,WS,produces,515,253,248,14,28.58283433,3.027147956,25,36,314,103,49,45,NA,94,NA,NA,511,605,0.844628099,0.614481409,0.201565558,0.095890411,0.088062622
Hungarian,WS,WS,produces,357,192,162,3,23.12885154,3.911978446,16,30,358,137,73,119,NA,115,NA,NA,687,802,0.856608479,0.521106259,0.199417758,0.106259098,0.173216885
Irish,WS,WS,produces,99,52,47,0,28.46464646,4.953483893,17,36,316,96,61,125,NA,94,NA,NA,598,692,0.86416185,0.528428094,0.160535117,0.102006689,0.2090301
Italian,WS,WS,produces,750,375,375,0,25.49733333,4.798405202,18,36,312,103,63,92,NA,100,NA,NA,570,670,0.850746269,0.547368421,0.180701754,0.110526316,0.161403509
Japanese,WS,WS,produces,657,298,294,65,24.52027027,5.467293424,16,36,312,103,63,81,NA,152,NA,NA,559,711,0.786216596,0.558139535,0.184257603,0.112701252,0.14490161
Kiswahili,WS,WS,produces,58,29,29,0,26.29310345,1.991284701,23,30,308,108,51,126,12,100,NA,NA,593,705,0.841134752,0.519392917,0.182124789,0.086003373,0.212478921
Korean,WS,WS,produces,1617,827,783,7,26.80086849,5.301410443,18,36,260,150,52,67,NA,112,NA,NA,529,641,0.825273011,0.491493384,0.283553875,0.098298677,0.126654064
Latvian,WS,WS,produces,488,236,252,0,26.1147541,5.70161074,17,36,324,108,63,115,NA,113,NA,NA,610,723,0.843706777,0.531147541,0.17704918,0.103278689,0.18852459
Mandarin (Beijing),WS,WS,produces,1040,518,522,0,23.06538462,4.299378141,16,30,322,194,66,113,NA,104,NA,NA,695,799,0.869837297,0.463309353,0.279136691,0.094964029,0.162589928
Mandarin (Taiwanese),WS,WS,produces,1875,957,918,0,25.968,5.803160365,16,36,343,96,70,59,NA,128,NA,NA,568,696,0.816091954,0.603873239,0.169014085,0.123239437,0.103873239
Portuguese (European),WS,WS,produces,2912,1522,1390,0,23.37877747,4.090239761,16,30,307,84,47,87,NA,114,NA,NA,525,639,0.821596244,0.584761905,0.16,0.08952381,0.165714286
Russian,WS,WS,produces,1019,475,543,1,27.48478901,5.111575737,18,36,314,102,52,102,28,130,NA,NA,570,728,0.782967033,0.550877193,0.178947368,0.09122807,0.178947368
Spanish (Argentinian),WS,WS,produces,768,375,392,1,23.33637549,4.431258408,16,33,321,107,61,90,16,104,NA,NA,579,699,0.82832618,0.554404145,0.184801382,0.105354059,0.155440415
Spanish (European),WS,WS,produces,580,293,287,0,23.2,4.284123399,16,30,258,86,35,121,NA,112,NA,NA,500,612,0.816993464,0.516,0.172,0.07,0.242
Spanish (Mexican),WS,WS,produces,2019,826,816,377,24.12983092,4.327044605,16,30,312,103,63,102,NA,100,NA,NA,580,680,0.852941176,0.537931034,0.177586207,0.10862069,0.175862069
Spanish (Peruvian),WS,WS,produces,104,59,45,0,22.41346154,4.339054026,16,30,299,91,42,89,NA,79,NA,NA,521,600,0.868333333,0.573896353,0.174664107,0.080614203,0.170825336
Swedish,WS,WS,produces,873,407,459,7,21.96219931,3.826775623,16,28,339,104,63,97,NA,107,NA,NA,603,710,0.849295775,0.562189055,0.172470978,0.104477612,0.160862355
