"language","form","form_type","measure","lexical_class","mean","ci_lower","ci_upper","num_forms","langform","order"
"Finnish","WS","WS","produces","Adjectives",-0.120571836966844,-0.13420828989026,-0.106005280678298,1,"Finnish","1"
"Hebrew","WS","WS","produces","Adjectives",-0.10604451132331,-0.115863474947663,-0.0963796706056985,1,"Hebrew","2"
"Spanish (Mexican)","WS","WS","produces","Adjectives",-0.101694352339337,-0.107779038464329,-0.095498572133747,1,"Spanish (Mexican)","3"
"Russian","WS","WS","produces","Adjectives",-0.0901631956558263,-0.0970717848279884,-0.0829461369018118,1,"Russian","4"
"English (British)","WS","WS","produces","Adjectives",-0.0899382126003255,-0.0975482074427875,-0.081848595576282,1,"English (British)","5"
"Swedish","WS","WS","produces","Adjectives",-0.0886839608898051,-0.0960631471655436,-0.0810250130574883,1,"Swedish","6"
"Kiswahili","WS","WS","produces","Adjectives",-0.0844631886998392,-0.116533105672587,-0.05349239563859,1,"Kiswahili","7"
"English (Australian)","WS","WS","produces","Adjectives",-0.0828827452507749,-0.0891368020076911,-0.076062938030916,1,"English (Australian)","8"
"Estonian","WS","WS","produces","Adjectives",-0.082028852549103,-0.0869658238214535,-0.0771690921603443,1,"Estonian","9"
"Turkish","WS","WS","produces","Adjectives",-0.0781512111783842,-0.0843844375848807,-0.0721411339106388,1,"Turkish","10"
"Kigiriama","WS","WS","produces","Adjectives",-0.072182840010814,-0.0886224454025579,-0.0533061481468297,1,"Kigiriama","11"
"Italian","WS","WS","produces","Adjectives",-0.0712044774864728,-0.0783390951661922,-0.0642061891903025,1,"Italian","12"
"German","WS","WS","produces","Adjectives",-0.0706828795117543,-0.0759398609697893,-0.0655279912545531,1,"German","13"
"Hungarian","WS","WS","produces","Adjectives",-0.0646486244911543,-0.0744338962181679,-0.0554338912980179,1,"Hungarian","14"
"Czech","WS","WS","produces","Adjectives",-0.0605469212851984,-0.07389868562887,-0.047821273774461,1,"Czech","15"
"Spanish (Argentinian)","WS","WS","produces","Adjectives",-0.0603048405314823,-0.0717753984556624,-0.0503866500366675,1,"Spanish (Argentinian)","16"
"Portuguese (European)","WS","WS","produces","Adjectives",-0.0552220187856169,-0.0601824408727019,-0.0502225304865072,1,"Portuguese (European)","17"
"Mandarin (Taiwanese)","WS","WS","produces","Adjectives",-0.0548724598929671,-0.0598576532486796,-0.0501445303065439,1,"Mandarin (Taiwanese)","18"
"Norwegian","WS","WS","produces","Adjectives",-0.0546472863399679,-0.0566528876358739,-0.0526656713585815,1,"Norwegian","19"
"English (Irish)","WS","WS","produces","Adjectives",-0.054272028503324,-0.0882303071568597,-0.020822268696539,1,"English (Irish)","20"
"Latvian","WS","WS","produces","Adjectives",-0.0533659888542136,-0.0648194705839707,-0.0413196415970384,1,"Latvian","21"
"Danish","WS","WS","produces","Adjectives",-0.0508391975216544,-0.0536449651004625,-0.0481439412422295,1,"Danish","22"
"Korean","WS","WS","produces","Adjectives",-0.0499489351264666,-0.0566881533444228,-0.0437693370430453,1,"Korean","23"
"Croatian","WS","WS","produces","Adjectives",-0.0450933992231063,-0.0566692388320371,-0.0334020108717473,1,"Croatian","24"
"Slovak","WS","WS","produces","Adjectives",-0.0420681125284019,-0.0505982658739378,-0.032887065671321,1,"Slovak","25"
"Dutch","WS","WS","produces","Adjectives",-0.0420600910036059,-0.0549032215998042,-0.0303460544706314,1,"Dutch","26"
"Catalan","WS","WS","produces","Adjectives",-0.0384645751356064,-0.0458629515997701,-0.0312461508626329,1,"Catalan","27"
"Spanish (Peruvian)","WS","WS","produces","Adjectives",-0.0376687588629216,-0.0638383107125412,-0.0138942641539705,1,"Spanish (Peruvian)","28"
"English (American)","WS","WS","produces","Adjectives",-0.0280841168426573,-0.030323359399671,-0.0259021993844041,1,"English (American)","29"
"French (French)","WS","WS","produces","Adjectives",-0.025902244071473,-0.0307412622270454,-0.0208391456222666,1,"French (French)","30"
"Greek (Cypriot)","WS","WS","produces","Adjectives",-0.0176158624648408,-0.0369928740149449,0.00319554383170184,1,"Greek (Cypriot)","31"
"Arabic (Saudi)","WS","WS","produces","Adjectives",-0.0131274307971974,-0.0280566351930299,0.0024304263203004,1,"Arabic (Saudi)","32"
"Cantonese","WS","WS","produces","Adjectives",-0.0126479139251908,-0.0166009544624969,-0.00876491566821177,1,"Cantonese","33"
"French (Quebecois)","WS","WS","produces","Adjectives",-0.0060748978229099,-0.0103894800761392,-0.00168290974659605,1,"French (Quebecois)","34"
"Spanish (European)","WS","WS","produces","Adjectives",0.00128527370762431,-0.00729588444351442,0.00942442049702558,1,"Spanish (European)","35"
"Japanese","WS","WS","produces","Adjectives",0.00731098964703709,-0.00225515082067796,0.0173435533105906,1,"Japanese","36"
"Irish","WS","WS","produces","Adjectives",0.00965014854337705,-0.00844929765309131,0.0256287681488998,1,"Irish","37"
"Persian","WS","WS","produces","Adjectives",0.0260973520624642,-0.00271811680963037,0.0567878272540645,1,"Persian","38"
"Mandarin (Beijing)","WS","WS","produces","Adjectives",0.0368769916234872,0.0254930435635097,0.0485772208379995,1,"Mandarin (Beijing)","39"
"Arabic (Saudi)","WS","WS","produces","Nouns",-0.00931411871118161,-0.0169450659981438,-0.00162571348953764,1,"Arabic (Saudi)","40"
"Kiswahili","WS","WS","produces","Nouns",-0.000781347450517141,-0.0159369584722407,0.0134204423747384,1,"Kiswahili","41"
"Mandarin (Beijing)","WS","WS","produces","Nouns",0.00552989592300389,0.00110959940629859,0.0100442262665389,1,"Mandarin (Beijing)","42"
"Cantonese","WS","WS","produces","Nouns",0.0122108006261387,0.00961787318400234,0.0148837688199983,1,"Cantonese","43"
"Spanish (Peruvian)","WS","WS","produces","Nouns",0.0166174654562278,0.00436483655716931,0.0293773871341769,1,"Spanish (Peruvian)","44"
"Mandarin (Taiwanese)","WS","WS","produces","Nouns",0.0193605077442282,0.01694042223574,0.0218687624657485,1,"Mandarin (Taiwanese)","45"
"Greek (Cypriot)","WS","WS","produces","Nouns",0.0206294424686683,0.00629872644135989,0.0337693768999567,1,"Greek (Cypriot)","46"
"Slovak","WS","WS","produces","Nouns",0.0225205269492124,0.0194377228793761,0.025451963705379,1,"Slovak","47"
"Kigiriama","WS","WS","produces","Nouns",0.0297172790327403,0.0135564195284738,0.0479928647799382,1,"Kigiriama","48"
"Turkish","WS","WS","produces","Nouns",0.0315651373234546,0.0279480232781102,0.0354837708282744,1,"Turkish","49"
"Japanese","WS","WS","produces","Nouns",0.0346859979793724,0.0293294302583101,0.0401599348406947,1,"Japanese","50"
"Portuguese (European)","WS","WS","produces","Nouns",0.0348832587194788,0.0324235142704443,0.0373471681169529,1,"Portuguese (European)","51"
"Irish","WS","WS","produces","Nouns",0.0373999852076446,0.0289915888564988,0.0457124517320838,1,"Irish","52"
"Estonian","WS","WS","produces","Nouns",0.0375833046006428,0.0347600160377331,0.0399924912862593,1,"Estonian","53"
"English (Australian)","WS","WS","produces","Nouns",0.0392274436609586,0.0365441285905403,0.0416990635643227,1,"English (Australian)","54"
"French (French)","WS","WS","produces","Nouns",0.0397036632704525,0.0367646096941717,0.0427437067540153,1,"French (French)","55"
"Spanish (Mexican)","WS","WS","produces","Nouns",0.0416912403752672,0.0381156597611048,0.0454240026138717,1,"Spanish (Mexican)","56"
"Spanish (Argentinian)","WS","WS","produces","Nouns",0.0431203050115823,0.0379597319865238,0.048643579879487,1,"Spanish (Argentinian)","57"
"Spanish (European)","WS","WS","produces","Nouns",0.0459821470960932,0.0409507232369069,0.0505109939130647,1,"Spanish (European)","58"
"Czech","WS","WS","produces","Nouns",0.0496705383856784,0.0446721231241924,0.0555723456564716,1,"Czech","59"
"Hebrew","WS","WS","produces","Nouns",0.0498647385068885,0.044889363057777,0.0551427494291109,1,"Hebrew","60"
"English (Irish)","WS","WS","produces","Nouns",0.0523819525429496,0.0339127955041076,0.0697056355556448,1,"English (Irish)","61"
"Russian","WS","WS","produces","Nouns",0.053668147018537,0.0499322739775707,0.0574370251749374,1,"Russian","62"
"French (Quebecois)","WS","WS","produces","Nouns",0.0543307375217393,0.0514745333050971,0.0572971786734967,1,"French (Quebecois)","63"
"Swedish","WS","WS","produces","Nouns",0.054426964906185,0.0506808026031731,0.0579793809233455,1,"Swedish","64"
"Italian","WS","WS","produces","Nouns",0.0573149893952934,0.0532374762861003,0.0613799591912042,1,"Italian","65"
"Catalan","WS","WS","produces","Nouns",0.0629919202730845,0.0593315331662519,0.0667342025246834,1,"Catalan","66"
"English (American)","WS","WS","produces","Nouns",0.0651637356103651,0.0638728238952801,0.0665003294277652,1,"English (American)","67"
"Hungarian","WS","WS","produces","Nouns",0.0651771821387382,0.0604470888017579,0.0703670912811442,1,"Hungarian","68"
"Latvian","WS","WS","produces","Nouns",0.0658758908923801,0.0595527169793589,0.0719886524434395,1,"Latvian","69"
"Dutch","WS","WS","produces","Nouns",0.0677050076362048,0.0615271937271917,0.0739100267933274,1,"Dutch","70"
"Finnish","WS","WS","produces","Nouns",0.0677324282910673,0.0590761278891346,0.0757732561332703,1,"Finnish","71"
"Croatian","WS","WS","produces","Nouns",0.067804814997473,0.0616032143511825,0.074574908897514,1,"Croatian","72"
"Norwegian","WS","WS","produces","Nouns",0.0691868126344657,0.0680547386409404,0.0702906026641636,1,"Norwegian","73"
"English (British)","WS","WS","produces","Nouns",0.0693038562030935,0.0656437222973188,0.0730771540025174,1,"English (British)","74"
"Danish","WS","WS","produces","Nouns",0.0756074229128952,0.073964273971376,0.0771825968498196,1,"Danish","75"
"Korean","WS","WS","produces","Nouns",0.0886265329112329,0.084874777311854,0.0921876549277466,1,"Korean","76"
"German","WS","WS","produces","Nouns",0.0908382033883683,0.0881110924209064,0.0937729258514325,1,"German","77"
"Persian","WS","WS","produces","Nouns",0.127185310463257,0.11444467933559,0.138775674530414,1,"Persian","78"
"Korean","WS","WS","produces","Verbs",-0.0854228798726739,-0.0907519986961059,-0.0801750088010931,1,"Korean","79"
"English (British)","WS","WS","produces","Verbs",-0.0779420930050561,-0.0844639015682393,-0.0712375584897762,1,"English (British)","80"
"Hebrew","WS","WS","produces","Verbs",-0.0724958770068047,-0.0836787674255575,-0.0620211825527695,1,"Hebrew","81"
"English (Australian)","WS","WS","produces","Verbs",-0.0574184218456924,-0.0634092195699241,-0.0517882892635904,1,"English (Australian)","82"
"German","WS","WS","produces","Verbs",-0.0470467350379388,-0.0516780524583625,-0.0422090719959336,1,"German","83"
"Italian","WS","WS","produces","Verbs",-0.0359233682662509,-0.0446522108509449,-0.0276606232433834,1,"Italian","84"
"French (Quebecois)","WS","WS","produces","Verbs",-0.0348414615897026,-0.0394696440909001,-0.0302156407043985,1,"French (Quebecois)","85"
"Hungarian","WS","WS","produces","Verbs",-0.031079139019316,-0.0401196056396255,-0.0221555673777893,1,"Hungarian","86"
"Greek (Cypriot)","WS","WS","produces","Verbs",-0.030114350387295,-0.0510105829674813,-0.00962811355221617,1,"Greek (Cypriot)","87"
"Finnish","WS","WS","produces","Verbs",-0.0221506604318001,-0.0416907551195303,-0.00431768098137604,1,"Finnish","88"
"Catalan","WS","WS","produces","Verbs",-0.0212585546816896,-0.0279700789192266,-0.0142936753916056,1,"Catalan","89"
"Dutch","WS","WS","produces","Verbs",-0.0114109726999762,-0.0234461059954968,-0.000680083716593581,1,"Dutch","90"
"Slovak","WS","WS","produces","Verbs",-0.0101475007456022,-0.0167318298788946,-0.00395505818522555,1,"Slovak","91"
"English (American)","WS","WS","produces","Verbs",-0.0101071235349759,-0.0122132512354625,-0.00796070282558907,1,"English (American)","92"
