"language","lexical_class","bias","predicativeAdj","individualism","flexibility"
"Finnish","Adjectives",-0.120571836966844,"Absent",0.794723798305938,0.440869951060983
"Hebrew","Adjectives",-0.10604451132331,"Absent",-0.186916222623145,-0.293569944047617
"Spanish (Mexican)","Adjectives",-0.101694352339337,"Absent",-1.26399346780922,-1.42183992783764
"Russian","Adjectives",-0.0901631956558263,"Absent",-0.691370122267257,0.19605665269145
"English (British)","Adjectives",-0.0899382126003255,"Absent",0.862893244203791,0.281209104298244
"Swedish","Adjectives",-0.0886839608898051,"Absent",1.40824881138661,-0.0913328714814809
"Kiswahili","Adjectives",-0.0844631886998392,"Present",-2.81825683428027,-1.9966189761835
"English (Australian)","Adjectives",-0.0828827452507749,"Absent",0.726554352408085,0.121548257535505
"Estonian","Adjectives",-0.082028852549103,"Absent",0.126663228506978,0.834700039742406
"Turkish","Adjectives",-0.0781512111783842,"Present",-0.650468454728546,-0.868348992393478
"Italian","Adjectives",-0.0712044774864728,"Absent",-0.336889003598422,-0.69804408917989
"German","Adjectives",-0.0706828795117543,"Absent",0.985598246819926,0.174768539789751
"Hungarian","Adjectives",-0.0646486244911543,"Absent",0.576581571432808,-0.410654565006959
"Czech","Adjectives",-0.0605469212851984,"Absent",0.549313793073667,-0.133909097284878
"Spanish (Argentinian)","Adjectives",-0.0603048405314823,"Absent",-0.405058449496275,-1.16638257301726
"Portuguese (European)","Adjectives",-0.0552220187856169,"Absent",0.00395822589084306,-0.570315411769698
"Mandarin (Taiwanese)","Adjectives",-0.0548724598929671,"Present",-0.991315684217811,1.54785182194931
"English (Irish)","Adjectives",-0.054272028503324,"Absent",-0.0369434416478687,-0.133909097284878
"Danish","Adjectives",-0.0508391975216544,"Absent",1.50368603564361,0.227988822043997
"Korean","Adjectives",-0.0499489351264666,"Present",-0.0642112200070099,1.53720776549846
"Croatian","Adjectives",-0.0450933992231063,"Absent",-0.854976792422105,-0.655467863376493
"Dutch","Adjectives",-0.0420600910036059,"Absent",2.07630938118557,0.611174854274572
"Spanish (Peruvian)","Adjectives",-0.0376687588629216,"Absent",-2.00022348350603,-2.30529661325813
"English (American)","Adjectives",-0.0280841168426573,"Absent",0.0448598934295548,-0.197773435989974
"French (French)","Adjectives",-0.025902244071473,"Absent",0.767456019946796,0.291853160749093
"Cantonese","Adjectives",-0.0126479139251908,"Present",-0.473227895394128,1.80330917676969
"French (Quebecois)","Adjectives",-0.0060748978229099,"Absent",0.658384906510232,0.0151076930270119
"Spanish (European)","Adjectives",0.00128527370762431,"Absent",0.38570712291882,-0.293569944047617
"Japanese","Adjectives",0.00731098964703709,"Present",0.16756489604569,2.17585115254942
"Irish","Adjectives",0.00965014854337705,"Absent",-0.0369434416478687,-0.133909097284878
"Mandarin (Beijing)","Adjectives",0.0368769916234872,"Present",-0.827709014062963,1.11144550746449
"Kiswahili","Nouns",-0.00078134745051714,"Present",-2.81825683428027,-1.9966189761835
"Mandarin (Beijing)","Nouns",0.00552989592300389,"Present",-0.827709014062963,1.11144550746449
"Cantonese","Nouns",0.0122108006261387,"Present",-0.473227895394128,1.80330917676969
"Spanish (Peruvian)","Nouns",0.0166174654562278,"Absent",-2.00022348350603,-2.30529661325813
"Mandarin (Taiwanese)","Nouns",0.0193605077442282,"Present",-0.991315684217811,1.54785182194931
"Turkish","Nouns",0.0315651373234546,"Present",-0.650468454728546,-0.868348992393478
"Japanese","Nouns",0.0346859979793724,"Present",0.16756489604569,2.17585115254942
"Portuguese (European)","Nouns",0.0348832587194788,"Absent",0.00395822589084306,-0.570315411769698
"Irish","Nouns",0.0373999852076446,"Absent",-0.0369434416478687,-0.133909097284878
"Estonian","Nouns",0.0375833046006428,"Absent",0.126663228506978,0.834700039742406
"English (Australian)","Nouns",0.0392274436609586,"Absent",0.726554352408085,0.121548257535505
"French (French)","Nouns",0.0397036632704525,"Absent",0.767456019946796,0.291853160749093
"Spanish (Mexican)","Nouns",0.0416912403752672,"Absent",-1.26399346780922,-1.42183992783764
"Spanish (Argentinian)","Nouns",0.0431203050115823,"Absent",-0.405058449496275,-1.16638257301726
"Spanish (European)","Nouns",0.0459821470960932,"Absent",0.38570712291882,-0.293569944047617
"Czech","Nouns",0.0496705383856784,"Absent",0.549313793073667,-0.133909097284878
"Hebrew","Nouns",0.0498647385068885,"Absent",-0.186916222623145,-0.293569944047617
"English (Irish)","Nouns",0.0523819525429496,"Absent",-0.0369434416478687,-0.133909097284878
"Russian","Nouns",0.053668147018537,"Absent",-0.691370122267257,0.19605665269145
