"language","adj_bias","predicativeAdj","freq_mean__Nouns","freq_mean__Verbs","freq_mean__Adjectives","mlu_mean__Nouns","mlu_mean__Verbs","mlu_mean__Adjectives","freq_ratio__VerbNoun","freq_ratio__AdjNoun","mlu_ratio__VerbNoun","mlu_ratio__AdjNoun","adj_bias_z","freq_noun_z","freq_verb_z","freq_adj_z","freq_ratio_verb_z","freq_ratio_adj_z","mlu_noun_z","mlu_verb_z","mlu_adj_z","mlu_ratio_verb_z","mlu_ratio_adj_z"
"Cantonese",-0.012623125996661,"Present",-8.94100250377259,-7.04260016828268,-7.93718863570971,6.13877790474028,6.50012921149011,6.0043082271195,1.8984023354899,1.00381386806288,1.05886372049245,0.978095041112835,1.08783379827985,0.412171130654326,1.32390546073216,0.900423254837022,1.16427323091859,0.579491531433617,-0.426620672365196,-0.460056779568274,-0.485101940321674,-0.181867589576303,-0.24613271802765
"Croatian",-0.0449453900657672,"Absent",-9.52097374555193,-8.27255993264437,-8.72065401540238,6.18391681520651,6.73653119050106,6.04282735799845,1.24841381290757,0.800319730149553,1.08936316444873,0.977184450984024,0.19333512105665,-0.72998894309958,-0.637653494599535,-0.536229208938522,-0.0546693872643645,0.160943727328103,-0.383286307206443,-0.254165982544,-0.449776462313265,0.465109118376071,-0.259942778474129
"Czech",-0.0603706631349941,"Absent",-8.99631488375131,-7.88558071976391,-8.1465228629272,5.5064409525702,5.67914081867942,6.06954067337205,1.1107341639874,0.849792020824109,1.03136324671358,1.10226201018991,-0.23354977558084,0.303242295144855,-0.0204930292351918,0.516563876899307,-0.312864087470008,0.262698592791228,-1.0336783107903,-1.17508444241049,-0.425277969921846,-0.76522792945938,1.63699042833365
"Danish",-0.050910268051415,"Absent",-9.33034170697847,-7.99616243848178,-8.90307587869517,5.70451063044664,6.55304497096209,5.85948184997596,1.33417926849669,0.427265828283305,1.14874796375811,1.02716643539977,0.0282608101559019,-0.354569805818009,-0.19685047354524,-0.870738973044381,0.106169097344746,-0.606355483549493,-0.843526983269981,-0.413970583765635,-0.617920643238421,1.72482329594177,0.49808677200908
"Dutch",-0.0121867478717385,"Absent",-9.59073808541283,-8.58749004191117,-8.12891668046283,6.2263491018349,6.6601730629421,6.43211045484801,1.00324804350166,1.46182140495,1.06967549586632,1.03304687058945,1.09991029312803,-0.867378589035209,-1.13990892931815,0.548848603283823,-0.514435974620708,1.52152382186513,-0.342550361560357,-0.320668961106913,-0.0927691476876563,0.0474797666751584,0.587269778558132
"English (American)",-0.021863723961778,"Absent",-9.26336516537037,-7.92400196313019,-8.40166086423604,7.3011409377363,7.44020961838642,6.68783255143824,1.33936320224018,0.861704301134331,1.01904752720651,0.91599828142912,0.832105961922958,-0.222670280130851,-0.0817678255202696,0.0487134170271786,0.115890680957758,0.287199833057207,0.689273876232085,0.358692306427424,0.14175081922833,-1.02647805828691,-1.18789562279707
"English (Australian)",-0.0828158482163057,"Absent",-7.9101880106034,-6.47233635035833,-7.00025221161278,7.29482231221894,7.42286670008785,6.64984896157708,1.43785166024508,0.909935798990627,1.01755277680368,0.911584775744089,-0.854706397602653,2.4421944710058,2.23337106388683,2.618497922805,0.300588986682198,0.386402629380858,0.683207854198262,0.343587748986073,0.106916480090774,-1.05818580667141,-1.25483109503945
"English (British)",-0.0801167172294142,"Absent",-8.25393148149216,-6.95258018342958,-7.63508324435698,7.32923144833009,7.39319786871799,6.44854603238456,1.30135129806258,0.618848237135186,1.00872757544073,0.879839322560051,-0.780009616081885,1.76524699537201,1.46747073218563,1.45439853703395,0.0446058376250123,-0.2123077858986,0.716241395629297,0.317748120387883,-0.0776962574231324,-1.24539248929168,-1.73628440043088
"English (Irish)",-0.0529905847066533,"Absent",-8.90323091637603,-7.55864347672639,-8.26756959828872,7.40976093430013,7.39949659185118,6.90239446577045,1.34458743964964,0.63566131808731,0.998614753898275,0.931527282320129,-0.0293106672733245,0.486556196566027,0.500911569105083,0.294598624704845,0.125687847222477,-0.177726553314116,0.793551506020268,0.32323389987058,0.338523228502178,-1.45991312117691,-0.952381933165392
"Estonian",-0.0818711417532101,"Absent",-9.03016756496009,-7.41059316581964,-8.2396507023004,9.4428741129862,10.3920926386477,10.4512275451759,1.61957439914045,0.790516862659693,1.10052220481856,1.1067845891118,-0.828562230232555,0.236574884623667,0.737024506790886,0.345793931794552,0.641378990561758,0.140781138351875,2.74538569927515,2.92959103708431,3.59311963401396,0.701822915936837,1.7055801113417
"Finnish",-0.122726212931389,"Absent",-9.36519144721979,-8.66481492124656,-8.9358678229969,6.54817624160635,7.06819294252765,7.01297647464815,0.70037652597323,0.429323624222885,1.07941397447692,1.07098163150963,-1.95920106941184,-0.423200763729319,-1.26322784911143,-0.930870063446312,-1.08241985083198,-0.602122998129322,-0.0335890984548441,0.0346899007820031,0.439936791934106,0.254059560096277,1.16259046868563
"French (French)",-0.025772257490057,"Absent",-9.60985382616899,-8.6315956661032,-8.12030482227608,7.4444869344116,7.90553591162089,7.4000532856326,0.978258160065787,1.4895490038929,1.06193159868118,0.994031334977081,0.723939712694466,-0.905023965735149,-1.21024926452357,0.564640299512354,-0.561300238965551,1.57855409197353,0.826889243989364,0.763961339246985,0.794920745673072,-0.116789493929929,-0.00444200055229417
